NID,Resource State,Title,Address,Address ZIP,Addr Additional,Addr City,Addr State,URL,Description,Federal and State Technology (FAST) Partnership Program Awardee,Procurement Technical Assistance Center (PTAC),SBA Regional Innovation Cluster,SBA Growth Accelerator,Small Business Development Center (SBDC),State Contact,Manufacturing Extension Partnership (MEP),POCC,B2S,MBC,POC,POC Title,POC Email,POC Phone,POC Fax
736197,Delaware,Delaware Division of Small Business,820 N French St,19801,,Wilmington,Delaware,http://business.delaware.gov/,"The Delaware Division of Small Business is a service-focused agency committed to helping businesses start and grow in Delaware. Business Managers provide one-on-one assistance and counseling to help small businesses succeed. Incentive programs offered include EDGE Grants, which provide matching grants to young Delaware small businesses through on-going rounds of a competitive selection process. STEM-based companies can receive up to $100,000 for eligible expenses, and other businesses can get up to $50,000. The Delaware Technical Innovation Program (DTIP), another incentive program, offers transition grants for companies that have completed Phase I and applied for Phase II of the federal Small Business Innovation Research (SBIR) or Small Business Technology Transfer (STTR) programs as they work to bring new products to market.",No,No,No,No,No,Yes,No,No,No,No,,,business@delaware.gov ,(302) 577-8477,() -
736201,Delaware,Delaware Space Grant Consortium,212 Sharp Laboratory,19716,,Newark,Delaware,http://www.delspace.org/,"The purpose of the Delaware Space Grant Consortium, funded by NASA and hosted at the University of Delaware, is to train students and researchers in the state of Delaware in the areas of science, technology, engineering, mathematics, and geography. A primary goal of Delaware Space Grant is to provide academic-year scholarship and fellowship opportunities to undergraduates and graduates who attend colleges in the Consortium. The institutional members of the Consortium includes: Delaware Technical Community College; Swarthmore College; Villanova University; Wesley College; and Wilmington University.",No,No,No,No,No,Yes,No,No,No,No,,,desgc@bartol.udel.edu ,(302) 831-1094,() -
736203,District of Columbia,DC Department of Small and Local Business Development (DSLBD),441 4th St. NW,20001,Suite 850 N,Washington,District of Columbia,https://dslbd.dc.gov/,"The Department of Small and Local Business Development (DSLBD) supports the development, economic growth, and retention of District-based businesses, and promotes economic development throughout the District's commercial corridors. The Inno.ED division of DSLBD is tasked with helping build the entrepreneurial ecosystem in the District of Columbia, and is working to identify and develop small businesses owners. Inno.ED has several statutory programs as well as agency initiatives under its wing, each designed with the goal of removing barriers to entrepreneurship. ",No,No,No,No,No,Yes,No,No,No,No,,,dslbd@dc.gov  ,(202) 727-3900,() -
736205,Florida,Florida Small Business Development Center,220 W. Garden St.,32502,Suite 301,Pensacola,Florida,http://www.floridasbdc.org/,"The Florida SBDC Network plays a vital role in Florida's economic development by assisting entrepreneurs in every stage of the business life cycle. In addition to the Florida SBDC's core service offerings of consulting provided at no-cost, training, and business research, the Florida SBDC Network also provides a comprehensive toolkit of specialized services for qualifying businesses looking to accelerate market growth, including: Growth Acceleration, Capital Access, International Trade, Government Contracting, and Business Continuation.",No,No,No,No,Yes,No,No,No,No,No,,,info@FloridaSBDC.org,(850) 898-3479,() -
736207,Florida,"Enterprise Florida, Inc.",800 N. Magnolia Ave.,32803,Suite 1100,Orlando,Florida,https://www.enterpriseflorida.com/,"Enterprise Florida, Inc. (EFI) partners with outside organizations to provide small, minority, and entrepreneurial companies with training, development, and financing options. EFI has an extensive network of state, federal, and non-profit resources ready to assist small businesses in accessing capital, entering new markets, and creating revenue growth, and job creation.",No,No,No,No,No,Yes,No,No,No,No,,,,(407) 956-5600,() -
736209,Florida,Florida High Tech Corridor Council,1055 AAA Dr.,32746,Suite 140,Heathrow,Florida,https://floridahightech.com/innovation/research-grants/,"Florida High Tech Corridor Council:  Matching Grants Research Program. Under innovation, the Florida High Tech Corridor Council offers its Matching Grants Research Program to companies located inside the 23-county region. Funds for the Matching Grants Research Program are designated for two programs:The Open Call and the SBIR/STTR Phase II Match program. Companies located within the region may submit proposals to collaborate with researchers from one, two, or all three of the following universities: University of Central Florida; University of Florida; or University of South Florida.  ",No,No,No,No,No,Yes,No,No,No,No,,,,(407) 635-9880,() -
736217,Georgia,Georgia Small Business Development Center: SBDC Commercialization Services,1180 East Broad St.,30602,,Athens,Georgia,https://www.georgiasbdc.org/commercialization-services/,"The University of Georgia Small Business Development Center provides tools, training, and resources to help small businesses grow and succeed. The SBDC commercialization services are designed to provide innovative commercialization assistance for small and mid-sized companies to aid in the realization of successful business milestones. Entrepreneurs and managers are provided education about business fundamentals and consulting services that will guide them through the commercialization process. SBDC commercialization services are provided state-wide and most of the commercialization services are free of charge.",No,No,No,No,Yes,No,No,No,No,No,,,,(706) 542-2762,() -
736219,Georgia,Advanced Technology Development Center (ATDC),75 5th St. NW,30308,Suite 2000,Atlanta,Georgia,http://atdc.org/,"The Advanced Technology Development Center (ATDC) at Georgia Tech is Georgia&#39;s state-funded technology incubator, assisting entrepreneurs throughout the state. ATDC helps Georgia startups at various stages navigate taking an idea from concept to product prototype to launch and ultimately to scale. ATDC&#39;s SBIR Program offers one-on-one coaching and workshops on SBIR/STTR programs throughout the year, which cover the basics of SBIR/STTR programs, including a discussion of the phases of the federal funding program, how the agencies differ and what they are looking for, how to prepare before the agency solicitation comes out, and how to write competitive proposal.",No,No,No,No,No,Yes,No,No,No,No,,,,(404) 894-3575,
736221,Georgia,Georgia Research Alliance (GRA): GRA Ventures,191 Peachtree St. NE ,30303,Suite 849,Atlanta,Georgia,http://gra.org/page/1038/gra_ventures.html,"GRA Ventures, Georgia's only non-profit catalyst for seeding and shaping companies around research at multiple universities, accelerates the formation and launch of university-based start-ups. As the commercialization arm of the Georgia Research Alliance, GRA Ventures seeks and identifies university discoveries and inventions that have market potential, as well as making key investments in promising ventures at the earliest stage.",No,No,No,No,No,Yes,No,No,No,No,,,,(404) 332-9770,() -
736223,Georgia,Atlanta MBDA Business Center,75 5th St. NW,30308,Suite 300,Atlanta,Georgia,https://mbdabusinesscenter-atlanta.org/,"Operated by Georgia Tech's Enterprise Innovation Institute, the MBDA Business Center-Atlanta facilitates growth of Minority Business Enterprises (MBEs) by connecting them with resources to help them succeed. Strategically positioned within the Enterprise Innovation Institute, the Center is surrounded by a wealth of entrepreneurial services and resources for MBEs to access. The Center has assisted thousands of entrepreneurs through its efforts, resources, and outreach. The Center enjoys affiliation with some of Georgia's leading MBEs, corporations, and organizations, many of which have become clients and partners. Although the Center is physically located in Atlanta, Georgia, the Center can assist clients anywhere in the United States.",No,No,No,No,No,No,No,No,No,Yes,,,donna.ennis@innovate.gatech.edu,(404) 894-2222,() -
736225,Hawaii,Hawai'i SBDC Network,2117 Keawe St.,96720,Suites 104-108,Hilo,Hawaii,https://www.hisbdc.org/,"The Hawai'i Small Business Development Center, a program of the University of Hawai'i at Hilo, offers no-cost, confidential, one-on-one business advice, research, and training to business owners and new entrepreneurs. Services include: business planning and strategy, market positioning, commercialization of new technologies, capital formation and funding, growth strategies, and more.",No,No,No,No,Yes,No,No,No,No,No,Cathy Wiltse,State Director,info@hisbdc.org ,(808) 933-0776,() -
736231,Idaho,Idaho Small Business Development Center,2360 W. University Dr.,83725,Ste. 2132,Boise,Idaho,https://idahosbdc.org/,"The Idaho Small Business Development Center (SBDC) is a statewide, university-based organization which helps small businesses succeed. Experienced Idaho SBDC consultants meet with clients to provide guidance in developing and growing a successful business. Through its six regional offices and two business accelerators, the Idaho SBDC offers a wide variety of services to small businesses, including counseling for starting or growing a business. Counselors also provide assistance with technology issues, including SBIR applications, environmental and export issues and government contracting. ",No,No,No,No,Yes,No,No,No,No,No,Will Fowler,Associate State Director of Operations,willfowler@boisestate.edu ,(208) 426-3812,() -
736233,Idaho,Idaho Global Entrepreneurial Mission (IGEM) Grant Program,700 W State St.,83720,PO Box 83720,Boise,Idaho,http://igem.idaho.gov/,"A state program of the Idaho Commerce Innovation Programs Division, the Idaho Global Entrepreneurial Mission (IGEM) grant program initiative was created to assist in advancing the growth of Idaho's economy through commercialized research at Idaho's three public research universities: Boise State University, Idaho State University, and the University of Idaho. The IGEM program is focused on commercializing new technologies, scientific developments, and industry-changing services through facilitating sponsored research and accelerating technology transfer out of Idaho university research facilities and into the private sector.  The Idaho Department of Commerce disperses approximately $950,000 in funds annually directly to Idaho's public research universities for projects approved by the IGEM Council. ",No,No,No,No,No,Yes,No,No,No,No,,,,(800) 842-5858,() -
736237,Idaho,Idaho Space Grant Consortium (ISGC),875 Perimeter Dr. ,83844,,Moscow,Idaho,https://www.idahospacegrant.org/grants,"Hosted at the University of Idaho, the NASA Idaho Space Grant Consortium (ISGC) offers Higher Education Grants to to encourage and support hands-on research and other activities for current and prospective Idaho undergraduate and graduate students pursuing science, technology, engineering, and math (STEM) degrees and/or careers. ISGC is particularly interested in projects contributing to NASA's missions and/or utilizing NASA content and resources. Activities can include research activities, participation in STEM-focused competitive teams (e.g., robotics teams, etc.), participation in NASA-organized activities, workshops, and special courses. These grants are open to  ISGC affiliate institutions and their employees/members. Maximum award amount is $25,000.",No,No,No,No,No,Yes,No,No,No,No,,,isgc@uidaho.edu ,(208) 885-4934,() -
736241,Illinois,Illinois Small Business Development Center (SBDC),500 E. Monroe St.,62701,5th Floor,Springfield,Illinois,https://www2.illinois.gov/dceo/smallbizassistance/beginhere/pages/sbdc.aspx,"Illinois Small Business Development Centers are located throughout the state and provide information, confidential business guidance, training and other resources to start-up and existing small businesses. Services include: one-on-one business advice and management assistance; assistance with the development of business plans; help with accessing market information and the development of marketing plans; assistance with accessing business financing programs; assistance with financial analysis and planning, access to business education and training opportunities; and specialized services in technology, innovation and entrepreneurial development.",No,No,No,No,Yes,No,No,No,No,No,Mark Petrilli,State Director,Mark.Petrilli@illinois.gov ,(800) 252-2923,() -
736245,Illinois,"Southern Illinois Research Park, Inc. (SIRP)",1740 Innovation Dr.,62903,,Carbondale,Illinois,https://incubator.siu.edu/,"The Southern Illinois Research Park (SIRP) is a non-profit corporation affiliated with Southern Illinois University Carbondale (SIU Carbondale) promoting technology and knowledge-based enterprise development within the Park and the southern Illinois region. Its central activity is enterprise development to locate and expand knowledge-based, technology, and research-oriented enterprises at the SIRP's site through recruitment and expert technical assistance to eligible existing and start-up enterprises. The program provides a full range of business development assistance for entrepreneurs, including one-on-one consulting, workshop and training events, and business plan development. The mission of the Business Incubator Program is to accelerate the start-up and expansion of businesses in southern Illinois. The program provides the guidance and consulting necessary to make sure those start-up and expanding firms have the tools necessary to succeed.",No,No,No,Yes,No,No,No,No,No,No,,,,(618) 536-2424,() -
736247,Illinois,Illinois Science & Technology Coalition Resource Directory,222 W Merchandise Mart Plaza,60654,Suite 1212,Chicago,Illinois,https://resources.istcoalition.org/,"The Illinois Science & Technology Coalition Resource Directory is a common platform to connect startups, innovation-driven enterprises, service providers, research and academic institutions, and community leaders to position Illinois as one of the world's top innovation centers.",No,No,No,No,No,Yes,No,No,No,No,  ,  ,info@istcoalition.org,(312) 239-0350,() -
736249,Illinois,Illinois Ventures,2242 W. Harrison St.,60612,Suite 201,Chicago,Illinois,http://www.illinoisventures.com/,"Illinois Ventures is a seed and early-stage technology investment firm focused on research-derived companies in healthcare and technology. It works with dedicated partners to create a thriving entrepreneurial community in the University of Illinois system and alumni networks, Illinois and the Midwest, and the national venture capital market. Illinois Ventures invests in seed-stage opportunities developed at the University of Illinois System. Illinois Ventures also manages the UIC Chancellor's Innovation Fund, which funds the UIC Proof of Concept awards program. The UIC Proof of Concept awards program supports the commercialization of technology developed by faculty at the University of Illinois at Chicago. The Proof of Concept program is a two-phase award, with an initial $50K grant and the potential for $150K in follow-on funds. The program distributes grants provided by the UIC Chancellor's Innovation Fund (CIF).",No,No,No,No,No,Yes,No,No,No,No,,,admin@illinoisventures.com ,(312) 996-9853,() -
736251,Indiana,Indiana Small Business Development Center (ISBDC),One North Capitol Ave.,46204,Suite 700,Indianapolis,Indiana,http://www.isbdc.org,"The Indiana Small Business Development Center (Indiana SBDC) offers entrepreneurs expert guidance and a comprehensive network of resources for little to no cost. Services provided include one-on-one consulting, strategic planning, market research, business planning, export assistance, valuation, loan assistance, and more.",No,No,No,No,Yes,No,No,No,No,No,David Watkins,Acting State Director,,(317) 234-2082,() -
736255,Indiana,Elevate Ventures,50 E. 91st St.,46240,Suite 213,Indianapolis,Indiana,https://www.elevateventures.com/,"Elevate Ventures is part venture capital fund, and part entrepreneurial development partner. This two-fold strategy means they not only provide investment capital to Indiana entrepreneurs and robust investment opportunities to funders, but they also make value-added services available to entrepreneurs and community leaders. Collaborative relationships with universities and communities across the state are critical to this model. Types of funding offered include SBIR/STTR Grant Matching. In Indiana, Elevate Ventures facilitates the SBIR/STTR program and using state dollars matches 50 percent of up to three SBIR/STTR Phase I grants ($150,000 maximum match) per recipient. The Community Ideation Fund, which enables ideation-stage high-potential companies to move closer to a specific, measureable technology or product develpment milestones. The Elevate Purdue Foundry Investment Fund, which supports Purdue Foundry companies seeking to commercialize Purdue-affiliated technologies or assets. The Elevate University Fund catalyzes university-affiliated startup creation and development through pitch competitions and pre-seed investments. Elevate Ventures additionally offers other pre-seed and seed funding.",No,No,No,No,No,Yes,No,No,No,No,,,,(317) 975-1901,() -
736257,Indiana,Indiana University: Innovate Indiana Fund,351 W. 10th St.,46202,,Indianapolis,Indiana,http://iufund.iu.edu/,"The Innovate Indiana Fund is a pre-Seed and Seed stage venture capital fund based out of Indianapolis, Indiana that invests in high-technology companies with a deep Indiana University (IU) connection. They have domain experience helping startups and entrepreneurs achieve their desired growth goals through talent acquisition, customer development, operational and entrepreneurial strategy.  General sector interest in biotechnology, information technology, nanotechnology, virtualization, computer networking, agriculture, consumer internet, and robotics/machine vision. The Innovate Indiana Fund was established to invest in companies originating from a connection to Indiana University, and to help those companies achieve commercial success. The fund helps the companies in its portfolio reach a variety of commercial goals using a wide array of tools including infusions of capital, recruitment of management or additional expertise, market research, next-stage capital and access to its extensive network of experts in the public and private sector. Innovate Indiana works with IU faculty, staff, students, and alumni, as well as external partners such as businesses and industry, economic development organizations, and investors.",No,No,No,No,No,Yes,No,No,No,No,,,innovate@iu.edu ,(317) 278-1912,() -
736259,Iowa,America's SBDC Iowa,1805 Collaboration Place,50010,Suite 1340,Ames,Iowa,http://www.iowasbdc.org/,"The America's SBDC Iowa (SBDC) provide no cost, confidential, customized, professional business advice in all 99 Iowa counties to entrepreneurs and existing businesses. They also present affordable workshops that teach practical skills and techniques, conduct research, provide comprehensive information services, and offer access to subject matter experts in a variety of fields. It is a public-private partnership that leverages the resources of government, higher education, and the business community to assist Iowa's businesses to grow and be successful. The 15 regional business assistance centers are hosted by the three Iowa Regent institutions, ten community colleges, and one regional economic development entity, all coordinated through the state center at Iowa State University.",No,No,No,No,Yes,No,No,No,No,No,Lisa Shimkat,State Director,iowasbdc@iastate.edu ,(515) 294-2030,() -
736269,Iowa,Iowa Economic Development Authority,1963 Bell Avenue,50315,Suite 200,Des Moines,Iowa,http://www.iowaeconomicdevelopment.com/,"The Iowa Economic Development Authority (IEDA) provides the following Business Development programs designed to provide Entrepreneur and Innovation Support: Iowa Innovation Acceleration Fund: The Iowa Innovation Acceleration Fund promotes formation and growth of businesses that engage in the transfer of technology to competitive, profitable companies that create high-paying jobs. Funds are designed to accelerate the pace of market development, leverage private investment, and industrial expansion efforts that result in significant capital investment. The fund provides financing to eligible businesses through two program components that correspond to different stages of growth for investment-grade, high-growth enterprises.&nbsp;Proof of Commercial Relevance Fund: The Proof of Commercial Relevance (POCR) program is designed to define and articulate the opportunity for businesses that demonstrate a proof-of-concept for innovative technology.&nbsp;Demonstration Fund: The Demonstration Fund is designed to provide assistance to companies with market-ready innovative technologies or products that have a clear potential for commercial viability.&nbsp;SBIR/STTR Outreach Program: IEDA has delegated the Iowa Innovation Corporation as administrator of the statewide SBIR/STTR Outreach Program to help companies apply for federal small business funding. This program assists Iowa companies by reviewing SBIR/STTR grant proposal applications and by providing commitments to matching grant funds for Phase I SBIR/STTR awards.",No,No,No,No,No,Yes,No,No,No,No,,,innovation@iowaeda.com ,(515) 348-6159,() -
736275,Kansas,Kansas Small Business Development Center (KSBDC) network,800 SW Jackson St. ,66612,Suite 900,Topeka,Kansas,https://www.kansassbdc.net/,"The KSBDC network provides existing Kansas small businesses, start-ups, and pre-venture entrepreneurs with confidential no-cost business consulting and resources for every stage of the business life cycle. Each center provides free consulting and access to free and low-cost training both online and at a variety of locations at or near center locations. The Kansas SBDC advises, refers, and connects small businesses to the resources they need to succeed, and provides a wide variety of services including but not limited to: steps in the commercialization of a product; understanding the commercialization process model; how to market an idea to a company; and product commercialization strategies. Offerings include: SBIR and STTR Grants Resource Guide; the Rural & Independent Innovators Conference (RIIC) model to cultivate innovators and entrepreneurs in rural areas of Kansas; and Encountering Innovation, a Kansas SBDC program that provides innovators the opportunity to present and showcase their technology to tech scouts and the public.",No,No,No,No,Yes,No,No,No,No,No,Greg Panichello,State Director,info@ksbdc.net ,(785) 296-6514,() -
736277,Kansas,Wichita State University: WSU Strategic Initiatives,1845 Fairmount St.,67260,,Wichita,Kansas,https://wichita.edu/research/WSUInitiatives/sbir-sttr-funding.php,"Wichita State University (WSU) Ventures, the university's technology transfer department, in partnership with the Kansas Small Business Development Center and Center for Entrepreneurship, conducts a series of workshops, training classes and outreach to provide information to businesses that have an interest in submitting applications for Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) programs. The goal of the program is to use resources available through WSU to increase the amount of SBIR/STTR funding distributed to Kansas small businesses. WSU Strategic Initiatives offers private, complimentary, confidential appointments to meet with inventors, innovators, and entrepreneurs of R&D focused small businesses who want to learn more about the U.S. SBIR/STTR program and other technology development resources.
",Yes,No,No,No,No,No,No,No,No,No,,,sbir@wichita.edu,(316) 978-5363,() -
736287,Kansas,Bioscience & Technology Business Center (BTBC),2029 Becker Dr.,66047,,Lawrence,Kansas,https://btbcku.com/,"The Bioscience & Technology Business Center (BTBC) is a unique partnership among the City of Lawrence, Douglas County, Kansas Department of Commerce, University of Kansas, and the Lawrence Chamber of Commerce, to support the bioscience and technology industries in northeastern Kansas. In addition to providing modern facilities and vital business guidance to its tenant companies, the BTBC helps entrepreneurs and technology businesses develop relationships with other entrepreneurs, professional service providers, the University of Kansas (KU), and Kansas University Medical Center (KUMC). BTBC works to create and grow companies that transform the high-tech landscape in the region.",No,No,No,Yes,No,No,No,No,No,No,,,info@btbcku.com ,(785) 832-2110,() -
736291,Kentucky,Kentucky Small Business Development Center: Technology Businesses,343 Waller Ave.,40504,Suite 205,Lexington,Kentucky,https://www.ksbdc.org/technology-businesses,"The Kentucky Small Business Development Center (KSBDC) supports new or existing businesses with a focus on technology, innovation or invention. Services include one-on-one business consulting, strategic and competitive intelligence, business plan development, funding opportunities, training, and growth support throughout the business life cycle. The KSBDC's technology services are available at no cost throughout the statewide network and are delivered in conjunction with universities across the state.",No,No,No,No,Yes,No,No,No,No,No,Kristina Joyce,State Director,KJoyce@uky.edu ,(859) 257-7668,() -
736297,Kentucky,Kentucky Science and Technology Corporation (KSTC),200 W. Vine St.,40507,Suite 420,Lexington,Kentucky,http://www.kstc.com/,"The Kentucky Science and Technology Corporation (KSTC) is a private, nonprofit organization committed to the advancement of science, technology, entrepreneurship, and innovative economic development in Kentucky. Under Innovation and Entrepreneurship, KSTC funds programs for R&D, new product development, and commercialization, through the Kentucky Science and Engineering Foundation (KSEF), and the Kentucky SBIR-STTR Resource Center and matching funds.  Additionally, for Enterprise Development and Capitalization, KSTC assists early-stage high-growth oriented technology companies with captial and resources for growth, through the Ketucky Aerospace Industry Consortium (KAIC), the Ketucky Procurement Technical Assistnace Center (DYPTAC), Venture Fund (KEF), and Veterans Accelerated Learning for Licensed Occuptations (VALLO). For Space Enterprise, KSTC provides R&D, education and entrepreneurial space solutions, through the Exomedicine' Institute, and Kentucky Space.",No,No,No,No,No,Yes,No,No,No,No,,,kstc@kstc.com ,(859) 233-3502,() -
